TOP.5c910dba.00065016	START
TOP.5c910de7.00085a9a	user_options->stdout_flag	0
TOP.5c910de7.00085a9a	user_options->usage	0
TOP.5c910de7.00085a9a	user_options->username	0
TOP.5c910de7.00085a9a	user_options->veracrypt_pim	0
TOP.5c910de7.00085a9a	user_options->version	0
TOP.5c910de7.00085a9a	user_options->workload_profile	2
TOP.5c910de7.00085a9a	user_options->brain_client	0
TOP.5c910de7.00085a9a	user_options->brain_client_features	3
TOP.5c910de7.00085a9a	user_options->brain_server	0
TOP.5c910de7.00085a9a	user_options->brain_port	6863
TOP.5c910de7.00085a9a	user_options->brain_session	0
TOP.5c910de7.00085a9a	hashes->hashfile	hashes.txt
TOP.5c910de7.00085a9a	hashes->hashlist_mode	4
TOP.5c910de7.00085a9a	hashes->hashlist_format	0
TOP.5c910de7.00085a9a	hashes->hashes_cnt	0
TOP.5c910de7.00085a9a	hashes->digests_cnt	8
TOP.5c910de7.00085a9a	hashes->digests_done	0
TOP.5c910de7.00085a9a	hashes->salts_cnt	1
TOP.5c910de7.00085a9a	hashes->salts_done	0
TOP.5c910de7.00085a9a	SUB.5c910de9.00036bbd	START
TOP.5c910de7.00085a9a	SUB.5c910de9.00036bbd	straight_ctx->dict	dictionaries\rockyou.txt
TOP.5c910e37.000cc76c	START
TOP.5c910e37.000cc76c	user_options->separator	:
TOP.5c910e37.000cc76c	user_options->encoding_from	utf-8
TOP.5c910e37.000cc76c	user_options->encoding_to	utf-8
TOP.5c910e37.000cc76c	user_options->outfile	cracked.txt
TOP.5c910e37.000cc76c	user_options->rule_buf_l	:
TOP.5c910e37.000cc76c	user_options->rule_buf_r	:
TOP.5c910e37.000cc76c	user_options->session	hashcat
TOP.5c910e37.000cc76c	user_options->limit	0
TOP.5c910e37.000cc76c	user_options->skip	0
TOP.5c910e37.000cc76c	user_options->attack_mode	0
TOP.5c910e37.000cc76c	user_options->benchmark	0
TOP.5c910e37.000cc76c	user_options->benchmark_all	0
TOP.5c910e37.000cc76c	user_options->bitmap_max	24
TOP.5c910e37.000cc76c	user_options->bitmap_min	16
TOP.5c910e37.000cc76c	user_options->debug_mode	0
TOP.5c910e37.000cc76c	user_options->example_hashes	0
TOP.5c910e37.000cc76c	user_options->force	0
TOP.5c910e37.000cc76c	user_options->gpu_temp_abort	90
TOP.5c910e37.000cc76c	user_options->gpu_temp_disable	0
TOP.5c910e37.000cc76c	user_options->hash_mode	0
TOP.5c910e37.000cc76c	user_options->hex_charset	0
TOP.5c910e37.000cc76c	user_options->hex_salt	0
TOP.5c910e37.000cc76c	user_options->hex_wordlist	0
TOP.5c910e37.000cc76c	user_options->increment	0
TOP.5c910e37.000cc76c	user_options->increment_max	256
TOP.5c910e37.000cc76c	user_options->increment_min	1
TOP.5c910e37.000cc76c	user_options->keep_guessing	0
TOP.5c910e37.000cc76c	user_options->kernel_accel	0
TOP.5c910e37.000cc76c	user_options->kernel_loops	0
TOP.5c910e37.000cc76c	user_options->keyspace	0
TOP.5c910e37.000cc76c	user_options->left	0
TOP.5c910e37.000cc76c	user_options->logfile_disable	0
TOP.5c910e37.000cc76c	user_options->loopback	0
TOP.5c910e37.000cc76c	user_options->machine_readable	0
TOP.5c910e37.000cc76c	user_options->markov_classic	0
TOP.5c910e37.000cc76c	user_options->markov_disable	0
TOP.5c910e37.000cc76c	user_options->markov_threshold	256
TOP.5c910e37.000cc76c	user_options->nvidia_spin_damp	100
TOP.5c910e37.000cc76c	user_options->opencl_info	0
TOP.5c910e37.000cc76c	user_options->opencl_vector_width	0
TOP.5c910e37.000cc76c	user_options->optimized_kernel_enable	0
TOP.5c910e37.000cc76c	user_options->outfile_autohex	1
TOP.5c910e37.000cc76c	user_options->outfile_check_timer	5
TOP.5c910e37.000cc76c	user_options->outfile_format	3
TOP.5c910e37.000cc76c	user_options->wordlist_autohex_disable	0
TOP.5c910e37.000cc76c	user_options->potfile_disable	0
TOP.5c910e37.000cc76c	user_options->progress_only	0
TOP.5c910e37.000cc76c	user_options->quiet	0
TOP.5c910e37.000cc76c	user_options->remove	0
TOP.5c910e37.000cc76c	user_options->remove_timer	60
TOP.5c910e37.000cc76c	user_options->restore	0
TOP.5c910e37.000cc76c	user_options->restore_disable	0
TOP.5c910e37.000cc76c	user_options->restore_timer	60
TOP.5c910e37.000cc76c	user_options->rp_files_cnt	0
TOP.5c910e37.000cc76c	user_options->rp_gen	0
TOP.5c910e37.000cc76c	user_options->rp_gen_func_max	4
TOP.5c910e37.000cc76c	user_options->rp_gen_func_min	1
TOP.5c910e37.000cc76c	user_options->rp_gen_seed	0
TOP.5c910e37.000cc76c	user_options->runtime	0
TOP.5c910e37.000cc76c	user_options->scrypt_tmto	0
TOP.5c910e37.000cc76c	user_options->segment_size	33554432
TOP.5c910e37.000cc76c	user_options->self_test_disable	0
TOP.5c910e37.000cc76c	user_options->slow_candidates	0
TOP.5c910e37.000cc76c	user_options->show	0
TOP.5c910e37.000cc76c	user_options->speed_only	0
TOP.5c910e37.000cc76c	user_options->status	0
TOP.5c910e37.000cc76c	user_options->status_timer	10
TOP.5c910e37.000cc76c	user_options->stdout_flag	0
TOP.5c910e37.000cc76c	user_options->usage	0
TOP.5c910e37.000cc76c	user_options->username	0
TOP.5c910e37.000cc76c	user_options->veracrypt_pim	0
TOP.5c910e37.000cc76c	user_options->version	0
TOP.5c910e37.000cc76c	user_options->workload_profile	2
TOP.5c910e37.000cc76c	user_options->brain_client	0
TOP.5c910e37.000cc76c	user_options->brain_client_features	3
TOP.5c910e37.000cc76c	user_options->brain_server	0
TOP.5c910e37.000cc76c	user_options->brain_port	6863
TOP.5c910e37.000cc76c	user_options->brain_session	0
TOP.5c910e37.000cc76c	hashes->hashfile	hashes.txt
TOP.5c910e37.000cc76c	hashes->hashlist_mode	4
TOP.5c910e37.000cc76c	hashes->hashlist_format	0
TOP.5c910e37.000cc76c	hashes->hashes_cnt	0
TOP.5c910e37.000cc76c	hashes->digests_cnt	7
TOP.5c910e37.000cc76c	hashes->digests_done	0
TOP.5c910e37.000cc76c	hashes->salts_cnt	1
TOP.5c910e37.000cc76c	hashes->salts_done	0
TOP.5c910e37.000cc76c	SUB.5c910e39.0007714d	START
TOP.5c910e37.000cc76c	SUB.5c910e39.0007714d	straight_ctx->dict	dictionaries\rockyou.txt
TOP.5c910ede.00055710	START
TOP.5c910ede.00055710	user_options->separator	:
TOP.5c910ede.00055710	user_options->encoding_from	utf-8
TOP.5c910ede.00055710	user_options->encoding_to	utf-8
TOP.5c910ede.00055710	user_options->outfile	cracked.txt
TOP.5c910ede.00055710	user_options->rule_buf_l	:
TOP.5c910ede.00055710	user_options->rule_buf_r	:
TOP.5c910ede.00055710	user_options->session	hashcat
TOP.5c910ede.00055710	user_options->limit	0
TOP.5c910ede.00055710	user_options->skip	0
TOP.5c910ede.00055710	user_options->attack_mode	0
TOP.5c910ede.00055710	user_options->benchmark	0
TOP.5c910ede.00055710	user_options->benchmark_all	0
TOP.5c910ede.00055710	user_options->bitmap_max	24
TOP.5c910ede.00055710	user_options->bitmap_min	16
TOP.5c910ede.00055710	user_options->debug_mode	0
TOP.5c910ede.00055710	user_options->example_hashes	0
TOP.5c910ede.00055710	user_options->force	0
TOP.5c910ede.00055710	user_options->gpu_temp_abort	90
TOP.5c910ede.00055710	user_options->gpu_temp_disable	0
TOP.5c910ede.00055710	user_options->hash_mode	0
TOP.5c910ede.00055710	user_options->hex_charset	0
TOP.5c910ede.00055710	user_options->hex_salt	0
TOP.5c910ede.00055710	user_options->hex_wordlist	0
TOP.5c910ede.00055710	user_options->increment	0
TOP.5c910ede.00055710	user_options->increment_max	256
TOP.5c910ede.00055710	user_options->increment_min	1
TOP.5c910ede.00055710	user_options->keep_guessing	0
TOP.5c910ede.00055710	user_options->kernel_accel	0
TOP.5c910ede.00055710	user_options->kernel_loops	0
TOP.5c910ede.00055710	user_options->keyspace	0
TOP.5c910ede.00055710	user_options->left	0
TOP.5c910ede.00055710	user_options->logfile_disable	0
TOP.5c910ede.00055710	user_options->loopback	0
TOP.5c910ede.00055710	user_options->machine_readable	0
TOP.5c910ede.00055710	user_options->markov_classic	0
TOP.5c910ede.00055710	user_options->markov_disable	0
TOP.5c910ede.00055710	user_options->markov_threshold	256
TOP.5c910ede.00055710	user_options->nvidia_spin_damp	100
TOP.5c910ede.00055710	user_options->opencl_info	0
TOP.5c910ede.00055710	user_options->opencl_vector_width	0
TOP.5c910ede.00055710	user_options->optimized_kernel_enable	0
TOP.5c910ede.00055710	user_options->outfile_autohex	1
TOP.5c910ede.00055710	user_options->outfile_check_timer	5
TOP.5c910ede.00055710	user_options->outfile_format	3
TOP.5c910ede.00055710	user_options->wordlist_autohex_disable	0
TOP.5c910ede.00055710	user_options->potfile_disable	0
TOP.5c910ede.00055710	user_options->progress_only	0
TOP.5c910ede.00055710	user_options->quiet	0
TOP.5c910ede.00055710	user_options->remove	0
TOP.5c910ede.00055710	user_options->remove_timer	60
TOP.5c910ede.00055710	user_options->restore	0
TOP.5c910ede.00055710	user_options->restore_disable	0
TOP.5c910ede.00055710	user_options->restore_timer	60
TOP.5c910ede.00055710	user_options->rp_files_cnt	0
TOP.5c910ede.00055710	user_options->rp_gen	0
TOP.5c910ede.00055710	user_options->rp_gen_func_max	4
TOP.5c910ede.00055710	user_options->rp_gen_func_min	1
TOP.5c910ede.00055710	user_options->rp_gen_seed	0
TOP.5c910ede.00055710	user_options->runtime	0
TOP.5c910ede.00055710	user_options->scrypt_tmto	0
TOP.5c910ede.00055710	user_options->segment_size	33554432
TOP.5c910ede.00055710	user_options->self_test_disable	0
TOP.5c910ede.00055710	user_options->slow_candidates	0
TOP.5c910ede.00055710	user_options->show	0
TOP.5c910ede.00055710	user_options->speed_only	0
TOP.5c910ede.00055710	user_options->status	0
TOP.5c910ede.00055710	user_options->status_timer	10
TOP.5c910ede.00055710	user_options->stdout_flag	0
TOP.5c910ede.00055710	user_options->usage	0
TOP.5c910ede.00055710	user_options->username	0
TOP.5c910ede.00055710	user_options->veracrypt_pim	0
TOP.5c910ede.00055710	user_options->version	0
TOP.5c910ede.00055710	user_options->workload_profile	2
TOP.5c910ede.00055710	user_options->brain_client	0
TOP.5c910ede.00055710	user_options->brain_client_features	3
TOP.5c910ede.00055710	user_options->brain_server	0
TOP.5c910ede.00055710	user_options->brain_port	6863
TOP.5c910ede.00055710	user_options->brain_session	0
TOP.5c910ede.00055710	hashes->hashfile	hashes.txt
TOP.5c910ede.00055710	hashes->hashlist_mode	4
TOP.5c910ede.00055710	hashes->hashlist_format	0
TOP.5c910ede.00055710	hashes->hashes_cnt	0
TOP.5c910ede.00055710	hashes->digests_cnt	7
TOP.5c910ede.00055710	hashes->digests_done	0
TOP.5c910ede.00055710	hashes->salts_cnt	1
TOP.5c910ede.00055710	hashes->salts_done	0
TOP.5c910ede.00055710	SUB.5c910ee0.0000c066	START
TOP.5c910ede.00055710	SUB.5c910ee0.0000c066	straight_ctx->dict	dictionaries\rockyou.txt
TOP.5c911131.000e4aea	START
TOP.5c911131.000e4aea	user_options->separator	:
TOP.5c911131.000e4aea	user_options->encoding_from	utf-8
TOP.5c911131.000e4aea	user_options->encoding_to	utf-8
TOP.5c911131.000e4aea	user_options->outfile	cracked.txt
TOP.5c911131.000e4aea	user_options->rule_buf_l	:
TOP.5c911131.000e4aea	user_options->rule_buf_r	:
TOP.5c911131.000e4aea	user_options->session	hashcat
TOP.5c911131.000e4aea	user_options->limit	0
TOP.5c911131.000e4aea	user_options->skip	0
TOP.5c911131.000e4aea	user_options->attack_mode	0
TOP.5c911131.000e4aea	user_options->benchmark	0
TOP.5c911131.000e4aea	user_options->benchmark_all	0
TOP.5c911131.000e4aea	user_options->bitmap_max	24
TOP.5c911131.000e4aea	user_options->bitmap_min	16
TOP.5c911131.000e4aea	user_options->debug_mode	0
TOP.5c911131.000e4aea	user_options->example_hashes	0
TOP.5c911131.000e4aea	user_options->force	0
TOP.5c911131.000e4aea	user_options->gpu_temp_abort	90
TOP.5c911131.000e4aea	user_options->gpu_temp_disable	0
TOP.5c911131.000e4aea	user_options->hash_mode	0
TOP.5c911131.000e4aea	user_options->hex_charset	0
TOP.5c911131.000e4aea	user_options->hex_salt	0
TOP.5c911131.000e4aea	user_options->hex_wordlist	0
TOP.5c911131.000e4aea	user_options->increment	0
TOP.5c911131.000e4aea	user_options->increment_max	256
TOP.5c911131.000e4aea	user_options->increment_min	1
TOP.5c911131.000e4aea	user_options->keep_guessing	0
TOP.5c911131.000e4aea	user_options->kernel_accel	0
TOP.5c911131.000e4aea	user_options->kernel_loops	0
TOP.5c911131.000e4aea	user_options->keyspace	0
TOP.5c911131.000e4aea	user_options->left	0
TOP.5c911131.000e4aea	user_options->logfile_disable	0
TOP.5c911131.000e4aea	user_options->loopback	0
TOP.5c911131.000e4aea	user_options->machine_readable	0
TOP.5c911131.000e4aea	user_options->markov_classic	0
TOP.5c911131.000e4aea	user_options->markov_disable	0
TOP.5c911131.000e4aea	user_options->markov_threshold	256
TOP.5c911131.000e4aea	user_options->nvidia_spin_damp	100
TOP.5c911131.000e4aea	user_options->opencl_info	0
TOP.5c911131.000e4aea	user_options->opencl_vector_width	0
TOP.5c911131.000e4aea	user_options->optimized_kernel_enable	0
TOP.5c911131.000e4aea	user_options->outfile_autohex	1
TOP.5c911131.000e4aea	user_options->outfile_check_timer	5
TOP.5c911131.000e4aea	user_options->outfile_format	3
TOP.5c911131.000e4aea	user_options->wordlist_autohex_disable	0
TOP.5c911131.000e4aea	user_options->potfile_disable	0
TOP.5c911131.000e4aea	user_options->progress_only	0
TOP.5c911131.000e4aea	user_options->quiet	0
TOP.5c911131.000e4aea	user_options->remove	0
TOP.5c911131.000e4aea	user_options->remove_timer	60
TOP.5c911131.000e4aea	user_options->restore	0
TOP.5c911131.000e4aea	user_options->restore_disable	0
TOP.5c911131.000e4aea	user_options->restore_timer	60
TOP.5c911131.000e4aea	user_options->rp_files_cnt	0
TOP.5c911131.000e4aea	user_options->rp_gen	0
TOP.5c911131.000e4aea	user_options->rp_gen_func_max	4
TOP.5c911131.000e4aea	user_options->rp_gen_func_min	1
TOP.5c911131.000e4aea	user_options->rp_gen_seed	0
TOP.5c911131.000e4aea	user_options->runtime	0
TOP.5c911131.000e4aea	user_options->scrypt_tmto	0
TOP.5c911131.000e4aea	user_options->segment_size	33554432
TOP.5c911131.000e4aea	user_options->self_test_disable	0
TOP.5c911131.000e4aea	user_options->slow_candidates	0
TOP.5c911131.000e4aea	user_options->show	0
TOP.5c911131.000e4aea	user_options->speed_only	0
TOP.5c911131.000e4aea	user_options->status	0
TOP.5c911131.000e4aea	user_options->status_timer	10
TOP.5c911131.000e4aea	user_options->stdout_flag	0
TOP.5c911131.000e4aea	user_options->usage	0
TOP.5c911131.000e4aea	user_options->username	0
TOP.5c911131.000e4aea	user_options->veracrypt_pim	0
TOP.5c911131.000e4aea	user_options->version	0
TOP.5c911131.000e4aea	user_options->workload_profile	2
TOP.5c911131.000e4aea	user_options->brain_client	0
TOP.5c911131.000e4aea	user_options->brain_client_features	3
TOP.5c911131.000e4aea	user_options->brain_server	0
TOP.5c911131.000e4aea	user_options->brain_port	6863
TOP.5c911131.000e4aea	user_options->brain_session	0
TOP.5c911131.000e4aea	hashes->hashfile	hashes.txt
TOP.5c911131.000e4aea	hashes->hashlist_mode	4
TOP.5c911131.000e4aea	hashes->hashlist_format	0
TOP.5c911131.000e4aea	hashes->hashes_cnt	0
TOP.5c911131.000e4aea	hashes->digests_cnt	1
TOP.5c911131.000e4aea	hashes->digests_done	0
TOP.5c911131.000e4aea	hashes->salts_cnt	1
TOP.5c911131.000e4aea	hashes->salts_done	0
TOP.5c911131.000e4aea	SUB.5c911133.0009a495	START
TOP.5c911131.000e4aea	SUB.5c911133.0009a495	straight_ctx->dict	dictionaries\rockyou.txt
TOP.5c911403.00022755	START
TOP.5c911403.00022755	user_options->separator	:
TOP.5c911403.00022755	user_options->custom_charset_1	?l?d?u
TOP.5c911403.00022755	user_options->custom_charset_2	?l?d
TOP.5c911403.00022755	user_options->custom_charset_3	?l?d*!$@_
TOP.5c911403.00022755	user_options->encoding_from	utf-8
TOP.5c911403.00022755	user_options->encoding_to	utf-8
TOP.5c911403.00022755	user_options->outfile	cracked.txt
TOP.5c911403.00022755	user_options->rule_buf_l	:
TOP.5c911403.00022755	user_options->rule_buf_r	:
TOP.5c911403.00022755	user_options->session	hashcat
TOP.5c911403.00022755	user_options->limit	0
TOP.5c911403.00022755	user_options->skip	0
TOP.5c911403.00022755	user_options->attack_mode	3
TOP.5c911403.00022755	user_options->benchmark	0
TOP.5c911403.00022755	user_options->benchmark_all	0
TOP.5c911403.00022755	user_options->bitmap_max	24
TOP.5c911403.00022755	user_options->bitmap_min	16
TOP.5c911403.00022755	user_options->debug_mode	0
TOP.5c911403.00022755	user_options->example_hashes	0
TOP.5c911403.00022755	user_options->force	0
TOP.5c911403.00022755	user_options->gpu_temp_abort	90
TOP.5c911403.00022755	user_options->gpu_temp_disable	0
TOP.5c911403.00022755	user_options->hash_mode	0
TOP.5c911403.00022755	user_options->hex_charset	0
TOP.5c911403.00022755	user_options->hex_salt	0
TOP.5c911403.00022755	user_options->hex_wordlist	0
TOP.5c911403.00022755	user_options->increment	1
TOP.5c911403.00022755	user_options->increment_max	256
TOP.5c911403.00022755	user_options->increment_min	1
TOP.5c911403.00022755	user_options->keep_guessing	0
TOP.5c911403.00022755	user_options->kernel_accel	0
TOP.5c911403.00022755	user_options->kernel_loops	0
TOP.5c911403.00022755	user_options->keyspace	0
TOP.5c911403.00022755	user_options->left	0
TOP.5c911403.00022755	user_options->logfile_disable	0
TOP.5c911403.00022755	user_options->loopback	0
TOP.5c911403.00022755	user_options->machine_readable	0
TOP.5c911403.00022755	user_options->markov_classic	0
TOP.5c911403.00022755	user_options->markov_disable	0
TOP.5c911403.00022755	user_options->markov_threshold	256
TOP.5c911403.00022755	user_options->nvidia_spin_damp	100
TOP.5c911403.00022755	user_options->opencl_info	0
TOP.5c911403.00022755	user_options->opencl_vector_width	0
TOP.5c911403.00022755	user_options->optimized_kernel_enable	0
TOP.5c911403.00022755	user_options->outfile_autohex	1
TOP.5c911403.00022755	user_options->outfile_check_timer	5
TOP.5c911403.00022755	user_options->outfile_format	3
TOP.5c911403.00022755	user_options->wordlist_autohex_disable	0
TOP.5c911403.00022755	user_options->potfile_disable	0
TOP.5c911403.00022755	user_options->progress_only	0
TOP.5c911403.00022755	user_options->quiet	0
TOP.5c911403.00022755	user_options->remove	0
TOP.5c911403.00022755	user_options->remove_timer	60
TOP.5c911403.00022755	user_options->restore	0
TOP.5c911403.00022755	user_options->restore_disable	0
TOP.5c911403.00022755	user_options->restore_timer	60
TOP.5c911403.00022755	user_options->rp_files_cnt	0
TOP.5c911403.00022755	user_options->rp_gen	0
TOP.5c911403.00022755	user_options->rp_gen_func_max	4
TOP.5c911403.00022755	user_options->rp_gen_func_min	1
TOP.5c911403.00022755	user_options->rp_gen_seed	0
TOP.5c911403.00022755	user_options->runtime	0
TOP.5c911403.00022755	user_options->scrypt_tmto	0
TOP.5c911403.00022755	user_options->segment_size	33554432
TOP.5c911403.00022755	user_options->self_test_disable	0
TOP.5c911403.00022755	user_options->slow_candidates	0
